,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_min_temp_c,city,year,week_start_date
0,18.0,0.1226,0.103725,0.1984833,0.1776167,297.572857143,297.742857143,292.414285714,299.8,295.9,73.3657142857,14.0128571429,2.62857142857,25.4428571429,6.9,20.0,sj,1990,1990-04-30
1,19.0,0.1699,0.142175,0.1623571,0.1554857,298.211428571,298.442857143,293.951428571,300.9,296.4,77.3685714286,15.3728571429,2.37142857143,26.7142857143,6.37142857143,22.2,sj,1990,1990-05-07
2,20.0,0.03225,0.1729667,0.1572,0.1708429,298.781428571,298.878571429,295.434285714,300.5,297.3,82.0528571429,16.8485714286,2.3,26.7142857143,6.48571428571,22.8,sj,1990,1990-05-14
3,21.0,0.1286333,0.2450667,0.2275571,0.2358857,298.987142857,299.228571429,295.31,301.4,297.0,80.3371428571,16.6728571429,2.42857142857,27.4714285714,6.77142857143,23.3,sj,1990,1990-05-21
4,22.0,0.1962,0.2622,0.2512,0.24734,299.518571429,299.664285714,295.821428571,301.9,297.5,80.46,17.21,3.01428571429,28.9428571429,9.37142857143,23.9,sj,1990,1990-05-28
5,23.0,0.1397164333500001,0.17485,0.2543143,0.1817429,299.63,299.764285714,295.851428571,302.4,298.1,79.8914285714,17.2128571429,2.1,28.1142857143,6.94285714286,23.9,sj,1990,1990-06-04
6,24.0,0.1129,0.0928,0.2050714,0.2102714,299.207142857,299.221428571,295.865714286,301.3,297.7,82.0,17.2342857143,2.04285714286,27.4142857143,6.77142857143,23.3,sj,1990,1990-06-11
7,25.0,0.0725,0.0725,0.1514714,0.1330286,299.591428571,299.528571429,296.531428571,300.6,298.4,83.3757142857,17.9771428571,1.57142857143,28.3714285714,7.68571428571,22.8,sj,1990,1990-06-18
8,26.0,0.10245,0.146175,0.1255714,0.1236,299.578571429,299.557142857,296.378571429,302.1,297.7,82.7685714286,17.79,1.88571428571,28.3285714286,7.38571428571,22.8,sj,1990,1990-06-25
9,27.0,0.11212770880000011,0.12155,0.1606833,0.2025667,300.154285714,300.278571429,296.651428571,302.3,298.7,81.2814285714,18.0714285714,2.01428571429,28.3285714286,6.51428571429,24.4,sj,1990,1990-07-02
10,28.0,0.192875,0.08235,0.1919429,0.1529286,299.512857143,299.592857143,296.041428571,301.8,298.0,81.4671428571,17.4185714286,2.15714285714,27.5571428571,7.15714285714,21.7,sj,1990,1990-07-09
11,29.0,0.2916,0.2118,0.3012,0.2806667,299.667142857,299.75,296.334285714,302.0,297.3,82.1442857143,17.7371428571,2.41428571429,28.1285714286,6.9,23.9,sj,1990,1990-07-16
12,30.0,0.1505667,0.1717,0.2269,0.2145571,299.558571429,299.635714286,295.96,301.8,297.1,80.7428571429,17.3414285714,2.07142857143,28.1142857143,6.35714285714,22.8,sj,1990,1990-07-23
13,31.0,0.3583815840000002,0.24715,0.3797,0.3813571,299.862857143,299.95,296.172857143,303.0,298.3,80.5842857143,17.5942857143,2.58571428571,28.2428571429,8.08571428571,22.8,sj,1990,1990-07-30
14,32.0,0.05129420754999999,0.06433333,0.1644429,0.1388571,300.391428571,300.478571429,296.532857143,302.5,298.8,79.65,17.95,2.32857142857,28.2,7.55714285714,23.3,sj,1990,1990-08-06
